powerStation,state,postcode,MWCapacity,fuelSource,year,lat,lng
"Laura Johnson Home, Townview",QLD,4825.0,0.2265,Solar,2025.0,-20.7342326,139.5034862
Leppington,NSW,2179.0,0.732,Solar,2025.0,-33.9773022,150.7834354
Quakers Hillside Care Community,NSW,2763.0,0.1996,Solar,2025.0,-33.719511,150.891607
Rest Nominees,VIC,3008.0,0.1188,Solar,2025.0,-36.9847807,143.3906074
Retail First Mt Ommaney,QLD,4074.0,1.0004,Solar,2025.0,-27.5452429,152.9319813
Woolworths HCFDC Heathwood,QLD,4110.0,1.6721,Solar,2025.0,-27.6348312,152.9917087
Woolworths Kings Meadow 7210,TAS,7249.0,0.2926,Solar,2025.0,-41.9609817,147.6479099
CLAYTON CHURCH HOMES INC,SA,5113.0,0.1965,Solar,2025.0,-30.0002315,136.2091547
Dalwood Children's Home,NSW,2092.0,0.2465,Solar,2025.0,-32.6274801,151.4200826
Haighs Proprietary Limited,SA,5106.0,0.6265,Solar,2025.0,-30.0002315,136.2091547
Lindt & Sprungli (Australia) Pty Ltd,NSW,2765.0,1.0179,Solar,2025.0,-31.2532183,146.921099
Midfield Trading Solar W SGU,SA,5010.0,0.6443,Solar,2025.0,-30.0002315,136.2091547
Wilandra Farms Clydebank,VIC,3851.0,0.155,Solar,2025.0,-38.0413887,147.1644309
Balickera WPS,NSW,2324.0,3.1158,Solar,2025.0,-32.660033,151.7971305
The Creeks Pipeline Company Ltd,SA,5259.0,2.808,Solar,2025.0,-35.2964192,139.0414808
Lai Industries,SA,5010.0,0.5445,Solar,2025.0,-30.0002315,136.2091547
CLAYTON CHURCH HOMES INC,SA,5082.0,0.198,Solar,2025.0,-30.0002315,136.2091547
Kerang Solar Plant,VIC,3579.0,37.2874,Solar,2025.0,-35.7350156,143.9202005
Red Valley Farms,QLD,4871.0,0.3801,Solar,2025.0,-15.8501908,144.8558809
Region Group Warnbro Central,WA,6169.0,0.5736,Solar,2025.0,-32.3352786,115.759399
Southern Steel,VIC,3175.0,0.2,Solar,2025.0,-36.9847807,143.3906074
Southern Steel,SA,5095.0,0.2498,Solar,2025.0,-35.1167257,138.4985418
CLAYTON CHURCH HOMES INC,SA,5072.0,0.2001,Solar,2025.0,-30.0002315,136.2091547
AU186 Oakdale West 5B,NSW,2178.0,0.15,Solar,2025.0,-34.0799357,150.5085739
Carosue,WA,6440.0,8.4637,Solar,2025.0,-30.1535719,122.3509579
Linfox Regency Park,SA,5010.0,0.7002,Solar,2025.0,-34.8556017,138.574467
PWR Hybrid Cataby,WA,6507.0,9.558,Solar,2025.0,-30.7358429,115.5402388
Blacktown Warehouse 1,NSW,2148.0,0.1995,Solar,2025.0,-33.7660982,150.9126927
Blacktown Warehouse 2,NSW,2148.0,0.1995,Solar,2025.0,-33.7660982,150.9126927
HCS,QLD,4014.0,0.4379,Solar,2025.0,-22.575197,144.0847926
Intertek Townsville,QLD,4818.0,0.1815,Solar,2025.0,-19.2508005,146.7366226
ISLHD,NSW,2516.0,0.2805,Solar,2025.0,-34.4897544,150.8891201
Region Group Treendale,WA,6233.0,0.3403,Solar,2025.0,-27.6728168,121.6283098
Woolworths DC Moorebank RDC 7950,NSW,2170.0,2.02,Solar,2025.0,-33.9343989,150.9347027
Bunnings Padstow,NSW,2211.0,0.2799,Solar,2025.0,-33.942003,151.035989
Five Star Seafoods,SA,5291.0,0.1889,Solar,2025.0,-38.0521157,140.7014793
Morgan Sawmill,SA,5491.0,0.1985,Solar,2025.0,-33.2022303,138.5729349
Northpoint Shopping Centre,QLD,4350.0,0.2984,Solar,2025.0,-27.5409914,151.9534338
Ormeau,QLD,4208.0,0.6588,Solar,2025.0,-27.7861892,153.2591207
Symbion,NSW,2178.0,1.7505,Solar,2025.0,-33.82294,150.92228
AFS Cadell Balranald,NSW,2715.0,4.8265,Solar,2025.0,-34.72095760000001,143.4989926
AU544 Interlink Estate,NSW,2759.0,0.5402,Solar,2025.0,-31.2532183,146.921099
BAE Williamtown,NSW,2318.0,0.4162,Solar,2025.0,-32.805961,151.837434
Bunnings Greenacre,NSW,2190.0,0.2001,Solar,2025.0,-33.90131909999999,151.0664275
Caloundra NMI 31173199012,QLD,4551.0,0.2275,Solar,2025.0,-26.8043999,153.1254643
HMC Capital Marsden Park,NSW,2765.0,0.24,Solar,2025.0,-33.7121004,150.841952
HMC Glenmore Park Shopping Centre,NSW,2745.0,0.5,Solar,2025.0,-33.7890704,150.668613
Lambert Estate Wines Pty Ltd,SA,5353.0,0.2232,Solar,2025.0,-34.5140317,139.0357497
Martin Brower Dandenong,VIC,3175.0,0.6251,Solar,2025.0,-38.0052446,145.2457329
Mt Annan Christian College,NSW,2567.0,0.2198,Solar,2025.0,-34.0487556,150.7760467
Scalabrini Chipping Norton,NSW,2170.0,0.335,Solar,2025.0,-33.9222641,150.9515568
Woolworths Darra 2695,QLD,4076.0,0.2499,Solar,2025.0,-27.5613337,152.9568256
Woolworths Ingham 2723,QLD,4850.0,0.2751,Solar,2025.0,-18.6510538,146.1568444
Woolworths Seaford 5646,SA,5169.0,0.2751,Solar,2025.0,-35.1870338,138.4801681
MNCLHD Coffs Harbour Health Campus,NSW,2450.0,1.3226,Solar,2025.0,-30.3179835,153.0940034
Tip Top Chullora,NSW,2190.0,2.0184,Solar,2025.0,-33.8939895,151.0449829
OZLEMFOODSWA,QLD,4207.0,0.4429,Solar,2025.0,-22.575197,144.0847926
Somerville Gardens Care Community,VIC,3912.0,0.2403,Solar,2025.0,-38.224962,145.1669677
Big W Mildura 560,VIC,3500.0,0.1996,Solar,2025.0,-34.2084827,142.1421312
Bunnings Maitland,NSW,2320.0,0.24,Solar,2025.0,-32.725282,151.54119
Clean Peak Energy,NSW,2580.0,0.288,Solar,2025.0,-33.8363771,151.2077989
Covenant Christian School,NSW,2085.0,0.1812,Solar,2025.0,-33.7141672,151.21495
EWH Food Services Kingsgrove,NSW,2208.0,0.3248,Solar,2025.0,-33.944212,151.0928129
Frasers Woolworths Liquor Warehouse,QLD,4207.0,0.5005,Solar,2025.0,-22.575197,144.0847926
"Scalabrini ""The Village"" Drummoyne",NSW,2047.0,0.235,Solar,2025.0,-33.8577411,151.1472001
Woolworths Katoomba 1787,NSW,2780.0,0.2751,Solar,2025.0,-33.7124469,150.3117701
Agile Energy,QLD,4208.0,0.2,Solar,2025.0,-22.575197,144.0847926
Aussie Pride Produce,VIC,3634.0,0.1476,Solar,2025.0,-36.2712003,145.432345
Campari,VIC,3026.0,0.6498,Solar,2025.0,-36.9847807,143.3906074
Chep Pallets,SA,5110.0,0.252,Solar,2025.0,-30.0002315,136.2091547
"Heidke St, Avoca",QLD,4670.0,0.1975,Solar,2025.0,-24.886416,152.3194594
HNELHD Tamworth,NSW,2340.0,1.0626,Solar,2025.0,-31.09003839999999,150.9293323
ISLHD Shoalhaven Hospital,NSW,2541.0,0.5,Solar,2025.0,-35.0810677,150.4892292
Kingspan Insulated Panels Pty Limited,NSW,2760.0,0.1601,Solar,2025.0,-33.7417031,150.7677957
Ornatas Tasmanian Lobster Hatchery,QLD,4816.0,0.1584,Solar,2025.0,-22.575197,144.0847926
Goyder South Wind Farm 1B,SA,5417.0,195.693,Wind,2025.0,-34.0537842,138.1995591
Agile Energy,NSW,2250.0,0.3478,Solar,2025.0,-33.8666739,151.2096645
ATCO Gas Australia Jandakot Microgrid,WA,6164.0,0.3006,Solar,2025.0,-32.1144409,115.8585662
Caloundra NMI 3117361486,QLD,4551.0,0.3476,Solar,2025.0,-26.8043999,153.1254643
City of Stirling (Administration Centre) – Solar w SGU,WA,6021.0,0.4702,Solar,2025.0,-31.89062779999999,115.816684
Concord Hospital,NSW,2138.0,0.3135,Solar,2025.0,-33.8371192,151.0941647
CQFMS,QLD,4740.0,0.3074,Solar,2025.0,-22.575197,144.0847926
Mirvac Switchyards Building 2,NSW,2144.0,0.1998,Solar,2025.0,-33.86255,151.207935
Seaford Central,SA,5169.0,0.4647,Solar,2025.0,-35.1892961,138.4791679
Stockland Rockhampton Shopping Centre,QLD,4701.0,2.6733,Solar,2025.0,-23.3544543,150.5224655
The Good Shepherd Home,QLD,4814.0,0.3136,Solar,2025.0,-19.3099296,146.7633243
Waverley Valley Care Community,VIC,3150.0,0.1499,Solar,2025.0,-37.869459,145.1589778
B&J Greenacre,NSW,2190.0,0.3997,Solar,2025.0,-33.9041635,151.072249
Bunnings Eastgardens,NSW,2036.0,0.3396,Solar,2025.0,-33.9491679,151.2247949
CH3059 Midwest Logistics Hub (INGH1),VIC,3029.0,0.9996,Solar,2025.0,-37.822881,144.7534421
"Macaulay Rd, Kensington",VIC,3031.0,0.1982,Solar,2025.0,-37.794511,144.9307387
MF Logistics Bvd,WA,6107.0,0.781,Solar,2025.0,-32.0093962,115.9786633
Mirvac Switchyards Building 6,NSW,2144.0,0.1998,Solar,2025.0,-33.86255,151.207935
Oxley Grove Care Community,QLD,4077.0,0.2775,Solar,2025.0,-27.5782642,152.983536
Stubbo,NSW,2852.0,520.3932,Solar,2025.0,-32.2970664,149.5332444
123 Sippy Downs,QLD,4556.0,0.1996,Solar,2025.0,-26.7139704,153.0617915
Agile Energy,QLD,4220.0,0.1524,Solar,2025.0,-22.575197,144.0847926
Baked Provisions Sydney,NSW,2170.0,0.2002,Solar,2025.0,-33.9365718,150.8856378
Chadstone Freshfood,VIC,3145.0,0.733,Solar,2025.0,-37.8810091,145.0959519
Mcdonald College,NSW,2137.0,0.2526,Solar,2025.0,-33.8584442,151.0866883
Moe Newborough,VIC,3825.0,0.1891,Solar,2025.0,-38.1774738,146.2594033
Nepean Hospital,NSW,2747.0,0.52,Solar,2025.0,-33.7592973,150.7137103
PFI Darra,QLD,4076.0,0.246,Solar,2025.0,-27.5757932,152.9560492
REMONDIS,NSW,2322.0,0.5511,Solar,2025.0,-31.2532183,146.921099
Story Fresh Produce,QLD,4358.0,0.2006,Solar,2025.0,-27.7134338,151.8781146
TIP TOP Carrara,QLD,4211.0,0.2205,Solar,2025.0,-28.0354868,153.3564211
Truganina,VIC,3029.0,0.293,Solar,2025.0,-37.8248334,144.7486991
UPS SCS Australia,NSW,2175.0,0.4002,Solar,2025.0,-31.2532183,146.921099
Petstock DC Avalon,VIC,3212.0,0.4004,Solar,2025.0,-38.0190235,144.4834572
REMONDIS,SA,5013.0,0.3969,Solar,2025.0,-30.0002315,136.2091547
BAE Systems Edinburgh Parks,SA,5111.0,0.1624,Solar,2025.0,-34.738053,138.6332525
Latrobe Leisure Morwell,VIC,3840.0,0.214,Solar,2025.0,-38.2332555,146.4051695
Acacia Ridge,QLD,4110.0,0.444,Solar,2025.0,-27.5873761,153.0270551
GPE_LYKA WELLNESS,VIC,3175.0,0.4994,Solar,2025.0,-36.9847807,143.3906074
Greenlink 7,VIC,3977.0,0.4196,Solar,2025.0,-36.9847807,143.3906074
IBIS Care,NSW,2223.0,0.3232,Solar,2025.0,-33.9819652,151.1104994
Agile Energy,NSW,2015.0,0.3608,Solar,2025.0,-33.8666739,151.2096645
Cairns Colonial Club,QLD,4870.0,0.2078,Solar,2025.0,-16.9115466,145.7480236
CALABRIA FAMILY WINES PTY LTD,NSW,2680.0,1.032,Solar,2025.0,-34.2769501,146.0286805
Pikes Wines Pty Ltd,SA,5453.0,0.1999,Solar,2025.0,-33.8873634,138.674942
Region Group Currambine,WA,6028.0,1.4803,Solar,2025.0,-31.7350917,115.7451643
Cubbie,QLD,4486.0,3.4395,Solar,2025.0,-22.575197,144.0847926
DHL Skyline,NSW,2171.0,0.9999,Solar,2025.0,-31.2532183,146.921099
Hendys Road Numurkah,VIC,3636.0,6.1623,Solar,2025.0,-36.0667307,145.4784347
Woolworths Golden Grove (The Stables) 5632,SA,5125.0,0.1998,Solar,2025.0,-34.7904698,138.6975102
Gregory Hills Hotel,NSW,2557.0,0.2,Solar,2025.0,-34.0225391,150.7655018
Moyhall,SA,5271.0,8.2029,Solar,2025.0,-37.0326147,140.6661117
AU371,QLD,4178.0,0.2912,Solar,2025.0,-22.575197,144.0847926
Kerarbury Station Almond Orchard,NSW,2706.0,6.0037,Solar,2025.0,-34.5682529,145.9987084
Steel Building Systems,SA,5113.0,0.2,Solar,2025.0,-30.0002315,136.2091547
Temperzone,NSW,2148.0,0.3595,Solar,2025.0,-32.9126676,151.7325452
Cowboys HQ,QLD,4810.0,0.264,Solar,2025.0,-22.575197,144.0847926
DUX MANUFACTURING LIMITED,NSW,2577.0,0.3995,Solar,2025.0,-31.2532183,146.921099
GPT Highpoint DJ,VIC,3032.0,0.4698,Solar,2025.0,-37.77376539999999,144.8896643
Mercy Place Cairns,QLD,4870.0,0.2789,Solar,2025.0,-16.929982,145.7492566
Mirani Water Recycling Facility,QLD,4754.0,0.1703,Solar,2025.0,-21.1586195,148.8623419
OPAL Bankstown Terrace Care Community,NSW,2200.0,0.2387,Solar,2025.0,-33.9329353,151.02629
OPAL Berkeley Care Community,NSW,2261.0,0.1687,Solar,2025.0,-34.476942,150.838983
UCS Pakenham,VIC,3810.0,0.1768,Solar,2025.0,-38.0947162,145.470796
Armadale Shopping Centre 576kW,WA,6112.0,0.576,Solar,2025.0,-32.1515645,116.0140386
Armadale Shopping Centre 700kW,WA,6112.0,0.704,Solar,2025.0,-32.1515645,116.0140386
AU876 Rosehill Industrial Estate,NSW,2142.0,0.764,Solar,2025.0,-33.828907,151.0292358
Mayfield Aged Care,NSW,2304.0,0.1923,Solar,2025.0,-32.8950287,151.7406396
Westrac Tomago,NSW,2322.0,1.6632,Solar,2025.0,-32.8235341,151.7517645
Wollar Solar Farm,NSW,2850.0,346.248,Solar,2025.0,-32.407631,149.9407365
NEUMANN STEEL 1,QLD,4223.0,1.5172,Solar,2025.0,-28.1480302,153.4690662
St Gregory's College Hall,NSW,2557.0,0.1993,Solar,2025.0,-34.0396755,150.7871124
St Marys Sewage Treatment,NSW,2760.0,1.7,Sewage Gas and Biomass-Based Components of Sewage,2025.0,-33.769979,150.7734575
Wentworthville Leagues Club Ltd,NSW,2145.0,0.23,Solar,2025.0,-33.8072579,150.9692876
Wentworthville Leagues Club Ltd System 2,NSW,2145.0,0.23,Solar,2025.0,-33.8072579,150.9692876
Westpork (Moora),WA,6507.0,0.63,Agricultural Waste,2025.0,-30.4974591,115.8798905
Across The Waves Sports Club Bundaberg,QLD,4670.0,0.4499,Solar,2025.0,-24.890253,152.3469848
HomeCo Toowoomba,QLD,4350.0,0.14,Solar,2025.0,-27.5979538,151.9504709
HomeCo Upper Coomera,QLD,4209.0,0.23,Solar,2025.0,-27.8508866,153.2985409
PLASTIC SOLUTIONS,VIC,3179.0,0.3586,Solar,2025.0,-36.9847807,143.3906074
Clarke Creek Wind Farm,QLD,4705.0,450.0,Wind,2025.0,-22.8504461,149.4532524
Big Dog Pet Foods,QLD,4504.0,0.6618,Solar,2025.0,-27.1955182,152.9994427
Doomadgee Solar Farm Stage 2,QLD,4830.0,0.304,Solar,2025.0,-17.9399667,138.8292283
MOKOAN SOLAR FARM,VIC,3673.0,57.803,Solar,2025.0,-36.4875195,146.1226338
Plainland,QLD,4341.0,0.4279,Solar,2025.0,-27.5679729,152.4220619
Homeco Tingalpa,QLD,4173.0,0.204,Solar,2025.0,-27.4772349,153.1397085
Palmerston Golf & Country Club,NT,830.0,0.1998,Solar,2025.0,-12.4803879,130.9758522
Tip Top Dry Creek,SA,5094.0,0.9176,Solar,2025.0,-34.840884,138.5914251
Woolworths Kingston 7003,TAS,7050.0,0.3375,Solar,2025.0,-42.9757956,147.3078991
Americold Hemmant 2,QLD,4174.0,0.3107,Solar,2025.0,-27.4445601,153.1170123
Brisbane Lions,QLD,4300.0,0.7987,Solar,2025.0,-22.575197,144.0847926
Cairns Aquarium,QLD,4870.0,0.4001,Solar,2025.0,-16.9184171,145.7738313
Clean Peak Energy,NSW,2830.0,0.3704,Solar,2025.0,-33.8363771,151.2077989
CSIRO,ACT,2620.0,1.2689,Solar,2025.0,-35.2770618,149.1447532
HomeCo Keysborough,VIC,3173.0,0.1518,Solar,2025.0,-37.99228340000001,145.1467055
STM Smeaton Grange – Solar w SGU – NSW,NSW,2567.0,0.2328,Solar,2025.0,-34.0390126,150.756853
The Big Banana Coffs Harbour,NSW,2450.0,0.1269,Solar,2025.0,-30.2748938,153.1337285
Uniting Farmborough,NSW,2526.0,0.1499,Solar,2025.0,-34.4563713,150.8296356
Synnex Australia,NSW,2141.0,0.4735,Solar,2025.0,-31.2532183,146.921099
Associated Grains Dalby,QLD,4405.0,0.3483,Solar,2025.0,-27.1836391,151.2309802
Clean Peak Energy,NSW,2731.0,7.5275,Solar,2025.0,-33.8363771,151.2077989
Kootingal Solar Farm,NSW,2352.0,6.048,Solar,2025.0,-31.057358,151.0541094
